row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure,ingredient_processed
0,'57 chevy with a white license plate,2016-07-18T22:49:04Z,14029,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,highball glass,NA,NA,1,creme de cacao,1 oz white,creme de cacao
0,'57 chevy with a white license plate,2016-07-18T22:49:04Z,14029,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,highball glass,NA,NA,2,vodka,1 oz,vodka
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,1,absolut kurant,1/2 oz,absolut kurant
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,2,grand marnier,1/4 oz,grand marnier
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,3,chambord raspberry liqueur,1/4 oz,chambord raspberry liqueur
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,4,midori melon liqueur,1/4 oz,midori melon liqueur
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,5,malibu rum,1/4 oz,malibu rum
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,6,amaretto,1/4 oz,amaretto
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,7,cranberry juice,1/2 oz,cranberry juice
1,1-900-fuk-meup,2016-07-18T22:27:04Z,15395,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,old-fashioned glass,NA,NA,8,pineapple juice,1/4 oz,pineapple juice
2,110 in the shade,2016-02-03T14:51:57Z,15423,alcoholic,beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,beer glass,NA,NA,1,lager,16 oz,lager
2,110 in the shade,2016-02-03T14:51:57Z,15423,alcoholic,beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,beer glass,NA,NA,2,tequila,1.5 oz,tequila
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,1,malibu rum,1/2 oz,malibu rum
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,2,light rum,1/2 oz,light rum
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,3,151 proof rum,1/2 oz bacardi,151 proof rum
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,4,dark creme de cacao,1 oz,dark creme de cacao
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,5,cointreau,1 oz,cointreau
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,6,milk,3 oz,milk
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,7,coconut liqueur,1 oz,coconut liqueur
3,151 florida bushwacker,2016-07-18T22:28:43Z,14588,alcoholic,milk / float / shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,beer mug,NA,NA,8,vanilla ice-cream,1 cup,vanilla ice-cream
4,155 belmont,2016-10-05T12:36:28Z,15346,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,white wine glass,NA,NA,1,dark rum,1 shot,dark rum
4,155 belmont,2016-10-05T12:36:28Z,15346,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,white wine glass,NA,NA,2,light rum,2 shots,light rum
4,155 belmont,2016-10-05T12:36:28Z,15346,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,white wine glass,NA,NA,3,vodka,1 shot,vodka
4,155 belmont,2016-10-05T12:36:28Z,15346,alcoholic,cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,white wine glass,NA,NA,4,orange juice,1 shot,orange juice
5,24k nightmare,2016-07-18T22:31:38Z,17060,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,shot glass,NA,NA,1,goldschlager,1/2 oz,goldschlager
5,24k nightmare,2016-07-18T22:31:38Z,17060,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,shot glass,NA,NA,2,jägermeister,1/2 oz,jägermeister
5,24k nightmare,2016-07-18T22:31:38Z,17060,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,shot glass,NA,NA,3,rumple minze,1/2 oz,rumple minze
5,24k nightmare,2016-07-18T22:31:38Z,17060,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,shot glass,NA,NA,4,151 proof rum,1/2 oz bacardi,151 proof rum
6,252,2016-07-18T22:32:42Z,15288,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,shot glass,NA,NA,1,151 proof rum,1/2 shot bacardi,151 proof rum
6,252,2016-07-18T22:32:42Z,15288,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,shot glass,NA,NA,2,wild turkey,1/2 shot,bourbon
7,3 wise men,2016-07-18T22:34:37Z,13899,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,collins glass,NA,NA,1,jack daniels,1/3 oz,jack daniels
7,3 wise men,2016-07-18T22:34:37Z,13899,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,collins glass,NA,NA,2,johnnie walker,1/3 oz,johnnie walker
7,3 wise men,2016-07-18T22:34:37Z,13899,alcoholic,shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,collins glass,NA,NA,3,jim beam,1/3 oz,bourbon
8,3-mile long island iced tea,2016-08-31T19:42:52Z,15300,alcoholic,ordinary drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,collins glass,NA,NA,1,gin,1/2 oz,gin
8,3-mile long island iced tea,2016-08-31T19:42:52Z,15300,alcoholic,ordinary drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,collins glass,NA,NA,2,light rum,1/2 oz,light rum
