ingredient,in_bar
151 proof rum,0
7-up,0
absinthe,0
absolut citron,0
absolut kurant,0
absolut peppar,0
absolut vodka,0
advocaat,0
agave syrup,0
ale,0
allspice,1
almond,0
almond flavoring,0
amaretto,0
añejo rum,0
angelica root,0
angostura bitters,1
anis,0
anise,0
anisette,0
aperol,0
apfelkorn,0
apple,0
apple brandy,0
apple cider,0
apple juice,0
apple schnapps,0
applejack,0
apricot,0
apricot brandy,0
aquavit,0
asafoetida,0
bacardi limon,0
bailey's irish cream,0
baileys irish cream,0
banana,0
banana liqueur,0
beer,0
benedictine,0
berries,0
bitter lemon,0
bitters,0
black pepper,0
black sambuca,0
blackberry brandy,0
blackcurrant cordial,0
blackcurrant squash,0
blended whiskey,0
blue curacao,0
blueberry schnapps,0
bourbon,1
brandy,0
brown sugar,0
butter,0
butterscotch schnapps,0
cachaca,0
campari,1
candy,0
cantaloupe,0
caramel coloring,0
caramel sauce,0
carbonated soft drink,0
carbonated water,0
cardamom,0
carrot,0
cayenne pepper,0
celery salt,0
chambord raspberry liqueur,0
champagne,0
cherry,0
cherry brandy,0
cherry grenadine,0
cherry heering,0
cherry liqueur,0
chocolate,0
chocolate ice-cream,0
chocolate liqueur,0
chocolate milk,0
chocolate sauce,0
chocolate syrup,0
cider,0
cinnamon,0
cloves,0
club soda,0
coca-cola,0
cocoa powder,0
coconut liqueur,0
coconut milk,0
coconut rum,0
coconut syrup,0
coffee,0
coffee brandy,0
coffee liqueur,0
cognac,0
cointreau,0
condensed milk,0
coriander,0
corn syrup,0
cornstarch,0
corona,0
cranberries,0
cranberry juice,0
cranberry vodka,0
cream,0
cream of coconut,0
creme de banane,0
creme de cacao,0
creme de cassis,0
creme de mure,0
crown royal,0
cumin seed,0
curacao,0
daiquiri mix,0
dark creme de cacao,0
dark rum,0
demerara sugar,0
dr. pepper,0
drambuie,0
dry vermouth,0
dubonnet rouge,0
egg,0
egg white,1
egg yolk,0
erin cream,0
espresso,0
everclear,0
fennel seeds,0
firewater,0
food coloring,0
frangelico,0
fresca,0
fresh lemon juice,0
fresh lime juice,0
fruit,0
fruit juice,0
fruit punch,0
galliano,0
gin,1
ginger,0
ginger ale,0
ginger beer,0
glycerine,0
godiva liqueur,0
gold tequila,0
goldschlager,0
grain alcohol,0
grand marnier,1
grape juice,0
grape soda,0
grapefruit juice,0
grapes,0
green chartreuse,1
green creme de menthe,0
grenadine,0
guava juice,0
guinness stout,0
half-and-half,0
heavy cream,0
honey,0
hot chocolate,0
hot damn,0
ice,0
iced tea,0
irish cream,0
irish whiskey,0
jack daniels,0
jägermeister,0
jello,0
jim beam,0
johnnie walker,0
kahlua,1
kirschwasser,0
kiwi,0
kiwi liqueur,0
kool-aid,0
kummel,0
lager,0
lavender,0
lemon,0
lemon-lime soda,0
lemon juice,1
lemon peel,0
lemon vodka,0
lemonade,0
licorice root,0
light cream,0
light rum,0
lillet blanc,0
lime,0
lime juice,1
lime juice cordial,0
lime peel,0
lime vodka,0
limeade,0
malibu rum,0
mango,0
maple syrup,0
maraschino cherry,1
maraschino liqueur,1
marjoram leaves,0
marshmallows,0
maui,0
melon liqueur,0
midori melon liqueur,0
milk,0
mini-snickers bars,0
mint,0
mint syrup,0
mountain dew,0
nutmeg,0
olive,0
olive brine,0
orange,0
orange bitters,1
orange curacao,0
orange juice,0
orange peel,0
orange spiral,0
oreo cookie,0
orgeat syrup,0
ouzo,0
papaya,0
passion fruit juice,0
passion fruit syrup,0
peach bitters,0
peach brandy,0
peach nectar,0
peach schnapps,0
peach vodka,0
peachtree schnapps,0
pepper,0
peppermint extract,0
peppermint schnapps,0
pepsi cola,0
peychaud bitters,0
pina colada mix,0
pineapple,0
pineapple juice,0
pineapple syrup,0
pink lemonade,0
pisang ambon,0
pisco,0
port,0
powdered sugar,0
prosecco,0
raspberry liqueur,0
raspberry syrup,0
raspberry vodka,0
red wine,0
ricard,0
root beer,0
rum,0
rumple minze,0
rye whiskey,1
salt,0
sambuca,0
sarsaparilla,0
schweppes russchian,0
scotch,0
sherry,0
sirup of roses,0
sloe gin,0
soda water,0
sour mix,0
southern comfort,0
spiced rum,0
sprite,0
st. germain,1
strawberries,0
strawberry liqueur,0
strawberry schnapps,0
sugar,0
sugar syrup,0
surge,0
sweet and sour,0
sweet vermouth,0
tabasco sauce,0
tea,0
tennessee whiskey,0
tequila,0
tia maria,0
tomato juice,0
tonic water,0
triple sec,0
tropicana,0
vanilla,0
vanilla extract,0
vanilla ice-cream,0
vanilla vodka,0
vermouth,0
vodka,0
water,0
whipped cream,0
whipping cream,0
whiskey,0
whisky,0
white creme de menthe,0
white rum,0
wild turkey,0
wine,0
worcestershire sauce,0
wormwood,0
yellow chartreuse,0
yoghurt,0
yukon jack,0
zima,0
